step,system_mean_speed,0_average_speed,0_queue_length
1.0,"(0.0,)",0.0,4
2.0,"(0.762570684717006,)",0.03540762616546288,0
3.0,"(2.419427024959943,)",0.11233841017022106,0
4.0,"(3.346977824222957,)",0.15433875686628923,2
5.0,"(3.5014743781064825,)",0.16161036752456925,3
6.0,"(5.098867822469708,)",0.23716358727890188,0
7.0,"(6.553049842479088,)",0.30788085154314504,1
8.0,"(7.924173336997864,)",0.37515729375237045,1
9.0,"(7.800056540315266,)",0.3704056247877943,3
11.0,"(9.64862443751978,)",0.4581203692493799,1
12.0,"(11.552302057745369,)",0.5475964755817175,0
13.0,"(11.898210755556045,)",0.563329804554772,2
14.0,"(11.991366142350222,)",0.5674735368778718,2
15.0,"(12.440125284958755,)",0.5884290115195084,1
16.0,"(12.373877140354882,)",0.5855785070533738,1
17.0,"(11.710977174884581,)",0.5544798841134608,2
18.0,"(11.392701089168249,)",0.5372161232561398,1
19.0,"(11.108720697104948,)",0.5237439185125142,2
21.0,"(10.665169709826047,)",0.49914808440750874,1
22.0,"(10.627061570924168,)",0.49662294536497015,1
23.0,"(9.765163337477663,)",0.45654115115663546,2
24.0,"(9.185260791288265,)",0.4306728362413606,3
25.0,"(8.953870581504608,)",0.4213396297195537,2
26.0,"(8.858112886954956,)",0.4184480400022673,3
27.0,"(8.792733073328362,)",0.4163055250191569,3
28.0,"(8.497103765666353,)",0.4023930969753357,3
29.0,"(8.080832401196302,)",0.3793616996583671,5
31.0,"(7.920661301221622,)",0.3725479907612427,6
32.0,"(7.683587300763161,)",0.36919399319226737,5
33.0,"(7.959942717995607,)",0.38888531487350736,5
34.0,"(7.89127548732056,)",0.3805651964908911,6
35.0,"(8.282215253024985,)",0.3817635504037035,5
36.0,"(8.243147945074616,)",0.3882105383142458,9
37.0,"(8.613469053013816,)",0.40538966459378684,7
38.0,"(8.70112153207776,)",0.40938667979331367,8
39.0,"(8.753497311206255,)",0.4120822238688671,8
41.0,"(7.90164049000436,)",0.37851716322935003,8
42.0,"(7.757679265679459,)",0.37080852485564897,10
43.0,"(8.046722760906963,)",0.3846257609451042,10
44.0,"(8.181050368086344,)",0.3775337545841861,12
45.0,"(8.315206097697004,)",0.39324325091146184,12
46.0,"(8.584505860242967,)",0.40606826236141813,11
47.0,"(8.487733595963489,)",0.39782975139897886,12
48.0,"(8.44214765554078,)",0.3986103396722428,13
49.0,"(7.931265228146655,)",0.3656866193706409,15
51.0,"(7.356176337370968,)",0.33855735455516844,14
52.0,"(6.739448714390797,)",0.30880434157442627,15
53.0,"(6.670879674346533,)",0.3059580457296185,15
54.0,"(6.694562429940109,)",0.3077098345798601,16
55.0,"(6.601324880731151,)",0.30675163099736724,15
56.0,"(6.498819106022741,)",0.30994275878228433,14
57.0,"(6.253871806798975,)",0.3019475402663616,16
58.0,"(6.072735698321658,)",0.2806196707516759,16
59.0,"(6.169954077293939,)",0.2949867846931828,16
61.0,"(5.561383607386784,)",0.26759570273024885,21
62.0,"(5.035766721044089,)",0.23701050540091484,17
63.0,"(4.983900434632437,)",0.2409118036470302,19
64.0,"(5.01849120754925,)",0.2422015582037611,20
65.0,"(5.1001434181710605,)",0.24534957023637996,20
66.0,"(5.041234905857589,)",0.24056706790920568,21
67.0,"(4.699327480372923,)",0.21905370711214597,19
68.0,"(4.86596988044182,)",0.22498764150228961,21
69.0,"(4.908563986856692,)",0.2253407953944917,20
71.0,"(4.9307779255318325,)",0.22650669905454404,20
72.0,"(5.459647617320808,)",0.2508737561625462,18
73.0,"(6.066308061951062,)",0.2801830119754424,15
74.0,"(6.537560772835941,)",0.3046320059224243,15
75.0,"(6.887435133415957,)",0.3223123297250336,15
76.0,"(7.149710568205327,)",0.34750737815785054,14
77.0,"(7.314399159867366,)",0.34624458335794744,13
78.0,"(7.3613503979770085,)",0.34406973711734135,15
79.0,"(7.15400170059459,)",0.32298302766576314,15
81.0,"(6.023034042187272,)",0.27889478450498256,19
82.0,"(5.481509788392907,)",0.2619697037855633,15
83.0,"(5.133052891091651,)",0.24729372215298118,16
84.0,"(3.8108119267908025,)",0.17777164974539406,19
85.0,"(4.013044897437046,)",0.20152820762096046,17
86.0,"(3.7154797046237493,)",0.1950884810616076,16
87.0,"(3.615281462172221,)",0.18752790283563442,18
88.0,"(4.021732385799485,)",0.20013054328510757,17
89.0,"(4.378554959906765,)",0.21673934246053841,18
91.0,"(5.151508080623079,)",0.2536243491952839,20
92.0,"(5.6550772173950135,)",0.26900813186857714,21
93.0,"(5.773530610663444,)",0.27610667496152613,21
94.0,"(6.298298247765192,)",0.3012089359093051,21
95.0,"(6.6294903569706545,)",0.3168701944690058,21
96.0,"(6.799629392516469,)",0.32491684367802115,21
97.0,"(5.788123668190149,)",0.2753768912034427,22
98.0,"(5.543765949913911,)",0.26762777579443225,15
99.0,"(5.790896280224823,)",0.28153239079130826,13
101.0,"(5.3777283433298875,)",0.2647881001420024,16
102.0,"(5.698736309338843,)",0.2794261911338919,12
103.0,"(6.218569360961492,)",0.3025235130546353,11
104.0,"(6.792191302768393,)",0.3131644132201421,11
105.0,"(7.407753022318166,)",0.35383470793065347,12
106.0,"(7.864772719265032,)",0.37866192039887536,12
107.0,"(8.20843997773423,)",0.3925518286493174,13
108.0,"(8.3735401306208,)",0.38261508238833847,13
109.0,"(8.15741571474651,)",0.38554952784524377,13
111.0,"(8.211571473627648,)",0.38653556329763433,14
112.0,"(7.712068140937925,)",0.37328192506367286,15
113.0,"(6.800429983648196,)",0.3195486295964423,19
114.0,"(5.741427424532463,)",0.2729408207427682,16
115.0,"(5.593577793693631,)",0.2660484879213268,16
116.0,"(5.154523146951414,)",0.24887924494953065,17
117.0,"(4.512259118620766,)",0.2224495426003346,17
118.0,"(4.430506926293898,)",0.2193115563715134,17
119.0,"(4.712587859853046,)",0.2126268975529115,17
121.0,"(4.462044004996576,)",0.2050403021247194,21
122.0,"(3.6923461118213536,)",0.16715241432957761,20
123.0,"(3.8644154969284927,)",0.17684404656030692,18
124.0,"(4.43981406511436,)",0.20438145538138933,19
125.0,"(5.104078729537443,)",0.2360362016107921,17
126.0,"(5.6376488775718645,)",0.2604211145625538,14
127.0,"(6.138446367588843,)",0.2855739147771352,14
128.0,"(6.330945327604392,)",0.2955061655142185,12
129.0,"(6.161001765589091,)",0.2880597260763958,15
131.0,"(7.45416555479314,)",0.3495837728668336,11
132.0,"(7.994899858777586,)",0.37850126125563316,11
133.0,"(8.445299260744978,)",0.4007381871801615,11
134.0,"(8.697177455334305,)",0.41122890170298376,11
135.0,"(9.091631606912243,)",0.42835229169527045,11
136.0,"(9.093268420257063,)",0.4295107436286778,11
137.0,"(8.792664064644804,)",0.41879755952459086,12
138.0,"(8.743774582239729,)",0.4169610799543842,13
139.0,"(8.0113717974251,)",0.38447218520323434,13
141.0,"(6.394436774428343,)",0.30529715895977105,17
142.0,"(6.065677993909082,)",0.28605161357595893,13
143.0,"(5.172697747708307,)",0.242487630382609,13
144.0,"(4.793019129488363,)",0.21784310719978314,14
145.0,"(3.7570744048967,)",0.17195673483435742,15
146.0,"(4.116252133832554,)",0.19010328421863654,9
147.0,"(4.717910965081482,)",0.22009880455802464,8
148.0,"(5.507357637076107,)",0.25897191792790025,9
149.0,"(6.186341426547396,)",0.28886417364560535,9
151.0,"(8.075795446536866,)",0.37658022025022403,10
152.0,"(8.80654325842374,)",0.41024603338706306,10
153.0,"(8.990830561158885,)",0.41962023766413464,10
154.0,"(9.02985019018338,)",0.4147536284845068,11
155.0,"(9.183718385585005,)",0.4212184036329531,12
156.0,"(8.47865821955064,)",0.38899779255593236,12
157.0,"(8.523420438842134,)",0.3891810759180171,12
158.0,"(7.329285285647312,)",0.34054648472413507,12
159.0,"(6.490704207050333,)",0.3022383112370721,12
