begin,end,e_to_e,e_to_n,e_to_s,e_to_w,n_to_e,n_to_n,n_to_s,n_to_w,s_to_e,s_to_n,s_to_s,s_to_w,w_to_e,w_to_n,w_to_s,w_to_w
0,1800,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
1800,3600,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
3600,5400,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
5400,7200,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
7200,9000,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
9000,10800,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
10800,12600,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
12600,14400,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
14400,16200,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
16200,18000,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
18000,19800,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
19800,21600,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
21600,23400,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
23400,25200,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
25200,27000,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
27000,28800,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
28800,30600,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
30600,32400,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
32400,34200,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
34200,36000,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
36000,37800,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
37800,39600,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
39600,41400,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
41400,43200,0,0,9,10,0,0,0,0,5,0,0,0,2,0,0,0
