begin,end,e_to_e,e_to_n,e_to_s,e_to_w,n_to_e,n_to_n,n_to_s,n_to_w,s_to_e,s_to_n,s_to_s,s_to_w,w_to_e,w_to_n,w_to_s,w_to_w
0,1800,4,14,5,17,5,4,17,14,14,17,4,5,17,5,14,4
1800,3600,4,14,5,21,5,4,25,14,14,17,4,5,17,5,14,4
3600,5400,4,14,5,21,5,4,17,14,14,17,4,5,17,5,14,4
5400,7200,4,14,5,21,5,4,17,14,17,30,4,5,17,5,14,4
7200,9000,4,14,5,25,5,4,17,14,17,31,4,5,21,5,14,4
9000,10800,4,14,5,23,5,4,17,14,17,34,4,5,21,5,14,4
10800,12600,4,14,5,30,5,4,17,14,17,37,4,5,23,5,14,4
12600,14400,4,14,5,30,5,4,17,14,15,30,4,5,23,5,14,4
14400,16200,4,14,5,30,5,4,28,14,15,28,4,5,28,5,14,4
16200,18000,4,21,5,34,5,4,30,14,16,40,4,5,32,5,14,4
18000,19800,4,25,5,40,5,4,30,14,19,41,4,5,32,5,19,4
19800,21600,4,28,5,40,5,4,30,14,19,46,4,5,32,5,19,4
21600,23400,4,25,5,40,5,4,30,14,19,41,4,5,30,5,19,4
23400,25200,4,25,5,37,5,4,29,14,19,39,4,5,28,5,19,4
25200,27000,4,21,5,30,5,4,29,14,17,32,4,5,28,5,19,4
27000,28800,4,21,5,30,5,4,29,14,17,32,4,5,28,5,19,4
28800,30600,4,21,5,30,5,4,29,14,17,32,4,5,28,5,14,4
30600,32400,4,20,5,29,5,4,29,14,17,31,4,5,28,5,14,4
32400,34200,4,21,5,29,5,4,29,14,17,41,4,5,28,5,14,4
34200,36000,4,21,5,30,5,4,29,14,17,44,4,5,28,5,14,4
36000,37800,4,21,5,34,5,4,32,14,17,44,4,5,28,5,14,4
37800,39600,4,21,5,34,5,4,32,14,17,39,4,5,28,5,14,4
39600,41400,4,21,5,34,5,4,32,14,17,39,4,5,28,5,14,4
41400,43200,4,21,5,37,5,4,41,14,17,34,4,5,28,5,14,4
